COUNTYNAME,population,Longitude,Latitude
新北市,3961374,121.27,25.1
高雄市,2777461,120.17,22.38
臺中市,2712948,120.37,24.11
臺北市,2695649,121.65,25.2
桃園縣,2054260,121.13,24.57
臺南市,1883493,120.14,23.7
彰化縣,1292126,120.34,23.58
屏東縣,849326,120.32,22.28
雲林縣,706688,120.27,23.48
苗栗縣,566918,120.46,24.25
新竹縣,536111,121,24.5
嘉義縣,526028,120.23,23.36
南投縣,515081,120.51,24.3
宜蘭縣,458784,121.49,24.52
新竹市,431029,120.58,24.48
基隆市,373597,121.44,25.8
花蓮縣,333531,121.36,23.59
嘉義市,270885,120.27,23.29
臺東縣,224931,121,37
金門縣,126156,118.25,24.3
澎湖縣,101482,119.33,23.34
連江縣,12481,119.53,26.12